4.968	0
5.017	-35.92
5.066	-35.61
5.114	-35.11
5.162	-34.58
5.21	-34.37
5.259	-34.42
5.307	-34.57
5.355	-34.82
5.403	-35.24
5.452	-35.35
5.5	-35.17
5.548	-35.05
5.596	-34.7
5.644	-34.38
5.691	-34.2
5.739	-34.23
5.786	-34.11
5.833	-34.05
5.881	-33.95
5.928	-34.14
5.976	-33.96
6.023	-34.21
6.071	-34.46
6.118	-34.46
6.165	-34.48
6.212	-34.31
6.259	-33.97
6.305	-33.6
6.352	-33.39
6.399	-33.17
6.445	-33.37
6.492	-33.74
6.539	-33.9
6.585	-34.18
6.632	-34.56
6.679	-34.8
6.725	-34.46
6.771	-34.4
6.817	-34.07
6.863	-33.78
6.909	-33.2
6.955	-33.24
7.001	-32.94
7.047	-33.06
7.092	-33.33
7.138	-33.63
7.184	-34.16
7.23	-34.53
7.276	-35.12
7.321	-35.07
7.366	-35.08
7.412	-34.89
7.457	-34.53
7.502	-33.97
7.547	-33.55
7.592	-33.54
7.637	-33.49
7.683	-33.81
7.728	-34.26
7.773	-34.32
7.818	-34.81
7.863	-34.75
7.907	-34.42
7.952	-34.24
7.996	-33.78
8.041	-33.41
8.085	-32.92
8.129	-33.05
8.174	-33.18
8.218	-33.38
8.263	-33.78
8.307	-33.83
8.352	-34.05
8.396	-34.28
8.439	-34.47
8.483	-34.83
8.527	-35.3
8.571	-35.86
8.615	-36.18
8.658	-36.44
8.702	-36.53
8.746	-36.42
8.79	-36.25
8.834	-36.11
8.877	-35.42
8.921	-34.95
8.964	-34.43
9.007	-34.2
9.05	-33.99
9.093	-33.71
9.136	-33.92
9.179	-33.91
9.223	-34.06
9.266	-34.27
9.309	-34.27
9.352	-34.36
9.395	-34.05
9.438	-33.89
9.48	-33.78
9.523	-33.41
9.565	-33.42
9.608	-33.31
9.65	-33.58
9.693	-33.87
9.735	-33.81
9.778	-34.4
9.82	-34.54
9.863	-34.69
9.905	-34.45
9.947	-34.37
9.989	-34.13
10.031	-33.72
10.073	-33.77
10.115	-33.7
10.157	-33.97
10.198	-34.19
10.24	-34.73
10.282	-35.2
10.324	-35.42
10.366	-35.79
10.408	-35.89
10.449	-35.77
10.491	-35.54
10.532	-34.85
10.573	-34.21
10.614	-33.64
10.656	-33.39
10.697	-33.27
10.738	-33.12
10.78	-33.17
10.821	-33.49
10.862	-33.7
10.904	-34.06
10.944	-34.38
10.985	-34.91
11.026	-34.94
11.066	-34.9
11.107	-34.91
11.148	-34.48
11.189	-33.99
11.229	-33.71
11.27	-33.32
11.311	-33.11
11.351	-32.99
11.392	-33.13
11.432	-33.37
11.473	-33.44
11.513	-33.88
11.553	-34.08
11.593	-33.99
11.633	-33.93
